ITEM TYPES
================================================================================

active_ingredient  |  Active Pharmaceutical Ingredient  |  category=ingredients  base_price=
military_radio  |  Military Radio  |  category=military  base_price=
military_uniform  |  Military Uniform  |  category=military  base_price=
milk  |  Milk  |  category=dairy  base_price=
milkshake  |  Milkshake  |  category=industrial  base_price=
miniature_american_shepherd  |  Miniature American Shepherd  |  category=livestock  base_price=
mint  |  Fresh Mint  |  category=crops  base_price=
missile  |  Missile  |  category=military  base_price=
mohair_sheep  |  Mohair Sheep  |  category=livestock  base_price=
monkfish  |  Monkfish  |  category=seafood  base_price=
moonshine  |  Moonshine  |  category=alcohol  base_price=
mother_of_pearl  |  Mother of Pearl  |  category=luxury  base_price=
motorcycle  |  Motorcycle  |  category=vehicle  base_price=
movie_screen  |  Movie Screen  |  category=media  base_price=
mre  |  Mre  |  category=industrial  base_price=
muffin  |  Muffin  |  category=baked_goods  base_price=
mussels  |  Mussels  |  category=shellfish  base_price=
nails  |  Nails  |  category=industrial  base_price=
natural_gas  |  Natural Gas  |  category=industrial  base_price=
newspaper  |  Daily Newspaper  |  category=media  base_price=
night_vision  |  Night Vision  |  category=industrial  base_price=
noodles  |  Noodles  |  category=food  base_price=
north_country_cheviot  |  North Country Cheviot  |  category=livestock  base_price=
notebook  |  Notebook  |  category=media  base_price=
novel  |  Mystery Novel  |  category=media  base_price=
obstacle_course  |  Obstacle Course  |  category=industrial  base_price=
octopus  |  Octopus  |  category=seafood  base_price=
octopus_cleaned  |  Cleaned Octopus  |  category=seafood_product  base_price=
oil  |  Crude Oil  |  category=liquids  base_price=
ointment  |  Medicinal Ointment  |  category=health  base_price=
old_english_sheepdog  |  Old English Sheepdog  |  category=livestock  base_price=
omega_3_capsule  |  Omega-3 Capsules  |  category=health  base_price=
onion_essential_oil  |  Onion Essential Oil  |  category=essential_oils  base_price=
onion_seeds  |  Onion Seeds  |  category=seeds  base_price=
onions  |  Onions  |  category=produce  base_price=
orange_essential_oil  |  Orange Essential Oil  |  category=fuel  base_price=
orange_seeds  |  Orange Seeds  |  category=seeds  base_price=
oranges  |  Oranges  |  category=produce  base_price=
orangutan  |  Orangutan  |  category=industrial  base_price=
oriental_leaf  |  Oriental Tobacco Leaf  |  category=crops  base_price=
ornamental_candle  |  Ornamental Candle  |  category=home_goods  base_price=
outboard_motor  |  Outboard Motor  |  category=vehicle_parts  base_price=
oxford_down_sheep  |  Oxford Down Sheep  |  category=livestock  base_price=
oyster_sauce  |  Oyster Sauce  |  category=condiments  base_price=
oysters  |  Oysters  |  category=shellfish  base_price=
pad_thai  |  Pad Thai  |  category=industrial  base_price=
painkiller  |  Painkiller  |  category=industrial  base_price=
painkillers  |  Pain Relievers  |  category=health  base_price=
paint  |  Paint  |  category=industrial  base_price=
panda  |  Panda  |  category=industrial  base_price=
pangasius  |  Pangasius  |  category=seafood  base_price=
panties  |  Panties  |  category=apparel  base_price=
paper  |  Paper  |  category=industrial  base_price=
paraffin_wax  |  Paraffin Wax  |  category=industrial  base_price=
parrot  |  Parrot  |  category=livestock  base_price=
passenger_jet  |  Passenger Jet  |  category=vehicles  base_price=
passenger_train  |  Passenger Train  |  category=industrial  base_price=
pasta  |  Pasta  |  category=food  base_price=
pastry_dough  |  Pastry Dough  |  category=baked_goods  base_price=
pate  |  Pâté  |  category=prepared_food  base_price=
peanut  |  Peanuts  |  category=crops  base_price=
peanut_butter  |  Peanut Butter  |  category=food  base_price=
peanut_butter_cookie  |  Peanut Butter Cookie  |  category=food  base_price=
peanut_flour  |  Peanut Flour  |  category=food  base_price=
peanut_oil  |  Peanut Oil  |  category=food  base_price=
pembroke_welsh_corgi  |  Pembroke Welsh Corgi  |  category=livestock  base_price=
penguin  |  Penguin  |  category=industrial  base_price=
peppermint  |  Peppermints  |  category=confectionery  base_price=
perch  |  Perch  |  category=seafood  base_price=
perfume  |  Perfume  |  category=personal_care  base_price=
perique_leaf  |  Perique Leaf  |  category=crops  base_price=
perique_tobacco  |  Perique Tobacco  |  category=cured_tobacco  base_price=
phone_card  |  Phone Card  |  category=vehicles  base_price=
pickled_herring  |  Pickled Herring  |  category=seafood_product  base_price=
pie_crust  |  Pie Crust  |  category=baked_goods  base_price=
pig  |  Pig  |  category=livestock  base_price=
pill_bottle  |  Pill Bottles  |  category=packaging  base_price=
pillow  |  Feather Pillow  |  category=home_goods  base_price=
pink_pearl  |  Pink Pearl  |  category=luxury  base_price=
pizza_sauce  |  Pizza Sauce  |  category=condiments  base_price=
pizza_slice  |  Pizza Slice  |  category=prepared_food  base_price=
plastic  |  Plastic  |  category=industrial  base_price=
playing_cards  |  Playing Cards  |  category=vehicles  base_price=
poker_table  |  Poker Table  |  category=industrial  base_price=
polar_bear  |  Polar Bear  |  category=industrial  base_price=
polish_lowland_sheepdog  |  Polish Lowland Sheepdog  |  category=livestock  base_price=
poll_dorset  |  Poll Dorset  |  category=livestock  base_price=
pollen  |  Pollen  |  category=ingredients  base_price=
pollock  |  Pollock  |  category=seafood  base_price=
polwarth_sheep  |  Polwarth  |  category=livestock  base_price=
polyester  |  Polyester  |  category=textiles  base_price=
polymer_compound  |  Polymer Compound  |  category=ingredients  base_price=
polypay_sheep  |  Polypay Sheep  |  category=livestock  base_price=
popcorn_machine  |  Popcorn Machine  |  category=industrial  base_price=
pork  |  Pork  |  category=meat  base_price=
postcard  |  Postcard  |  category=media  base_price=
potato_sack  |  Potato Sack  |  category=packaging  base_price=
potatoes  |  Potatoes  |  category=produce  base_price=
prawn_cocktail  |  Prawn Cocktail  |  category=prepared_food  base_price=
premium_cigar  |  Premium Cigar  |  category=tobacco  base_price=
premium_cocktail  |  Premium Cocktail  |  category=retail_food  base_price=
premium_sashimi  |  Premium Sashimi  |  category=prepared_food  base_price=
pretzel  |  Soft Pretzel  |  category=baked_goods  base_price=
prison_bedding  |  Prison Bedding  |  category=industrial  base_price=
prison_bus  |  Prison Bus  |  category=vehicles  base_price=
prison_meal  |  Prison Meal  |  category=prepared_food  base_price=
prison_produce_crate  |  Prison Produce Crate  |  category=industrial  base_price=
private_jet  |  Private Jet  |  category=vehicles  base_price=
processor  |  Processor  |  category=components  base_price=
projector  |  Projector  |  category=industrial  base_price=
propeller  |  Propeller  |  category=vehicle_parts  base_price=
prosthetic  |  Prosthetic  |  category=industrial  base_price=
puffer_fish  |  Puffer Fish  |  category=industrial  base_price=
purse  |  Purse  |  category=accessories  base_price=
purse_seiner  |  Purse Seiner  |  category=vehicle  base_price=
pyrenean_sheepdog  |  Pyrenean Sheepdog  |  category=livestock  base_price=
pyrotechnics  |  Pyrotechnics  |  category=industrial  base_price=
python  |  Python  |  category=industrial  base_price=
queen_bee  |  Queen Bee  |  category=livestock  base_price=
radar_array  |  Radar Array  |  category=industrial  base_price=
radiator  |  Radiator  |  category=vehicle_parts  base_price=
rambouillet_sheep  |  Rambouillet  |  category=livestock  base_price=
ramen_bowl  |  Ramen Bowl  |  category=components  base_price=
rams_horn  |  Ram's Horn  |  category=luxury  base_price=
razor_wire  |  Razor Wire  |  category=industrial  base_price=
rebar  |  Rebar  |  category=industrial  base_price=
red_mullet  |  Red Mullet  |  category=seafood  base_price=
red_wine  |  Red Wine  |  category=alcohol  base_price=
refrigerated_container  |  Refrigerated Container  |  category=industrial  base_price=
refrigerator  |  Refrigerator  |  category=industrial  base_price=
religious_book  |  Religious Text  |  category=luxury  base_price=
religious_candle  |  Religious Candle  |  category=luxury  base_price=
research_enzyme  |  Research Enzyme  |  category=industrial  base_price=
residential_electricity  |  Residential Electricity  |  category=industrial  base_price=
rhino  |  Rhino  |  category=industrial  base_price=
rice  |  Rice  |  category=crops  base_price=
rice_essential_oil  |  Rice Essential Oil  |  category=essential_oils  base_price=
rice_flour  |  Rice Flour  |  category=ingredients  base_price=
rice_paper  |  Rice Paper  |  category=ingredients  base_price=
rice_sack  |  Rice Sack  |  category=packaging  base_price=
rice_seeds  |  Rice Seeds  |  category=seeds  base_price=
rice_wine  |  Rice Wine  |  category=alcohol  base_price=
rideau_arcott  |  Rideau Arcott  |  category=livestock  base_price=
rifle  |  Rifle  |  category=military  base_price=
roasted_coffee  |  Roasted Coffee  |  category=ingredients  base_price=
robotic_arm_assembly  |  Robotic Arm Assembly  |  category=components  base_price=
robusto_cigar  |  Robusto Cigar  |  category=tobacco  base_price=
romanov_sheep  |  Romanov Sheep  |  category=livestock  base_price=
romney_sheep  |  Romney  |  category=livestock  base_price=
rope  |  Rope  |  category=industrial  base_price=
rope_wick  |  Rope Wick  |  category=industrial  base_price=
rose_wine  |  Rosé Wine  |  category=alcohol  base_price=
rottweiler  |  Rottweiler  |  category=livestock  base_price=
roulette_wheel  |  Roulette Wheel  |  category=industrial  base_price=
router  |  Router  |  category=components  base_price=
royal_jelly  |  Royal Jelly  |  category=ingredients  base_price=
royal_white_sheep  |  Royal White Sheep  |  category=livestock  base_price=
rubber  |  Synthetic Rubber  |  category=industrial  base_price=
rum  |  Aged Rum  |  category=alcohol  base_price=
rum_molasses  |  Rum Molasses  |  category=sweeteners  base_price=
sacred_tobacco  |  Sacred Tobacco  |  category=tobacco  base_price=
sake  |  Sake  |  category=alcohol  base_price=
salmon  |  Atlantic Salmon  |  category=seafood  base_price=
salmon_fillet  |  Salmon Fillet  |  category=seafood_product  base_price=
salmon_roe  |  Salmon Roe  |  category=seafood_product  base_price=
salsa  |  Salsa  |  category=condiments  base_price=
salt  |  Salt  |  category=ingredients  base_price=
salt_cod  |  Salt Cod  |  category=seafood_product  base_price=
samoyed  |  Samoyed  |  category=livestock  base_price=
sand  |  Silica Sand  |  category=industrial  base_price=
sardines  |  Sardines  |  category=seafood  base_price=
satay  |  Satay  |  category=food  base_price=
satellite_uplink  |  Satellite Uplink  |  category=components  base_price=
sausage  |  Sausage  |  category=meat  base_price=
sawdust  |  Sawdust  |  category=industrial  base_price=
scallop_meat  |  Scallop Meat  |  category=seafood_product  base_price=
scallops  |  Scallops  |  category=shellfish  base_price=
schipperke  |  Schipperke  |  category=livestock  base_price=
school_bus  |  School Bus  |  category=vehicles  base_price=
school_lunch  |  School Lunch  |  category=industrial  base_price=
school_uniform  |  School Uniform  |  category=apparel  base_price=
scoreboard  |  Scoreboard  |  category=wood  base_price=
scotch_collie  |  Scotch Collie  |  category=livestock  base_price=
sea_lion  |  Sea Lion  |  category=industrial  base_price=
sea_trout  |  Sea Trout  |  category=seafood  base_price=
sea_turtle  |  Sea Turtle  |  category=industrial  base_price=
seabass  |  Sea Bass  |  category=seafood  base_price=
seafood_chowder  |  Seafood Chowder  |  category=prepared_food  base_price=
seafood_tower  |  Seafood Tower  |  category=industrial  base_price=
seahorse  |  Seahorse  |  category=livestock  base_price=
seal  |  Seal  |  category=industrial  base_price=
security_camera  |  Security Camera  |  category=industrial  base_price=
security_contract  |  Security Contract  |  category=services  base_price=
semi_truck  |  Semi Truck  |  category=vehicles  base_price=
server  |  Server  |  category=components  base_price=
shampoo  |  Shampoo  |  category=personal_care  base_price=
shark  |  Shark  |  category=industrial  base_price=
sheep_milk  |  Sheep Milk  |  category=dairy  base_price=
shetland_sheep  |  Shetland Sheep  |  category=livestock  base_price=
ship_hull  |  Ship Hull  |  category=vehicle_parts  base_price=
shipping_container  |  Shipping Container  |  category=vehicles  base_price=
shoes  |  Shoes  |  category=apparel  base_price=
shrimp  |  Shrimp  |  category=shellfish  base_price=
shrimp_paste  |  Shrimp Paste  |  category=condiments  base_price=
shrimp_peeled  |  Peeled Shrimp  |  category=seafood_product  base_price=
shrimp_trawler  |  Shrimp Trawler  |  category=vehicle  base_price=
shropshire_sheep  |  Shropshire Sheep  |  category=livestock  base_price=
silk  |  Silk  |  category=textiles  base_price=
silk_worm  |  Silkworm  |  category=livestock  base_price=
skate  |  Skate  |  category=seafood  base_price=
slot_machine  |  Slot Machine  |  category=industrial  base_price=
smartboard  |  Smartboard  |  category=wood  base_price=
smartphone  |  Smartphone  |  category=media  base_price=
smoked_eel  |  Smoked Eel  |  category=seafood_product  base_price=
smoked_mackerel  |  Smoked Mackerel  |  category=seafood_product  base_price=
smoked_salmon  |  Smoked Salmon  |  category=seafood_product  base_price=
smoothie  |  Smoothie  |  category=industrial  base_price=
snapper  |  Red Snapper  |  category=seafood  base_price=
snuff  |  Snuff  |  category=tobacco  base_price=
soap  |  Soap  |  category=personal_care  base_price=
soay_sheep  |  Soay Sheep  |  category=livestock  base_price=
soda  |  Soda  |  category=beverages  base_price=
soda_cup  |  Soda Cup  |  category=industrial  base_price=
soft_serve  |  Soft Serve  |  category=industrial  base_price=
software_license  |  Software License  |  category=components  base_price=
sole  |  Dover Sole  |  category=seafood  base_price=
sound_system  |  Sound System  |  category=industrial  base_price=
south_african_meat_merino  |  South African Meat Merino  |  category=livestock  base_price=
southdown_sheep  |  Southdown  |  category=livestock  base_price=
spaghetti  |  Spaghetti  |  category=food  base_price=
spark_plugs  |  Spark Plugs  |  category=vehicle_parts  base_price=
sports_ball  |  Sports Ball  |  category=accessories  base_price=
sports_equipment  |  Sports Equipment  |  category=industrial  base_price=
squid  |  Squid  |  category=seafood  base_price=
st_croix_sheep  |  St. Croix Sheep  |  category=livestock  base_price=
stadium_seat  |  Stadium Seat  |  category=accessories  base_price=
standard_room_night  |  Standard Room Night  |  category=retail_service  base_price=
standardized_test  |  Standardized Test  |  category=industrial  base_price=
steel  |  Steel  |  category=metals  base_price=
steering_wheel  |  Steering Wheel  |  category=vehicle_parts  base_price=
stew  |  Beef Stew  |  category=prepared_food  base_price=
stingray  |  Stingray  |  category=metals  base_price=
stout  |  Stout  |  category=alcohol  base_price=
stove  |  Stove  |  category=industrial  base_price=
student_desk  |  Student Desk  |  category=industrial  base_price=
sturgeon  |  Sturgeon  |  category=industrial  base_price=
submarine  |  Submarine  |  category=vehicles  base_price=
suffolk_sheep  |  Suffolk Sheep  |  category=livestock  base_price=
sugar  |  Sugar  |  category=sweeteners  base_price=
suit_jacket  |  Suit Jacket  |  category=apparel  base_price=
sumatra_leaf  |  Sumatra Leaf  |  category=crops  base_price=
sun_cured_tobacco  |  Sun-Cured Tobacco  |  category=cured_tobacco  base_price=
surgical_gloves  |  Surgical Gloves  |  category=health  base_price=
surgical_mask  |  Surgical Mask  |  category=health  base_price=
surgical_tools  |  Surgical Tools  |  category=health  base_price=
surimi  |  Surimi  |  category=seafood_product  base_price=
surveillance_system  |  Surveillance System  |  category=industrial  base_price=
sushi_roll  |  Sushi Roll  |  category=prepared_food  base_price=
sutures  |  Sutures  |  category=industrial  base_price=
swordfish  |  Swordfish  |  category=seafood  base_price=
swordfish_steak  |  Swordfish Steak  |  category=seafood_product  base_price=
syringe  |  Syringe  |  category=health  base_price=
tablet  |  Tablet  |  category=industrial  base_price=
taco  |  Taco  |  category=prepared_food  base_price=
tactical_vest  |  Tactical Vest  |  category=industrial  base_price=
taffy  |  Salt Water Taffy  |  category=confectionery  base_price=
takeout_container  |  Takeout Container  |  category=industrial  base_price=
tank  |  Tank  |  category=military  base_price=
targhee_sheep  |  Targhee Sheep  |  category=livestock  base_price=
taser  |  Taser  |  category=industrial  base_price=
tea  |  Brewed Tea  |  category=beverages  base_price=
tea_essential_oil  |  Tea Essential Oil  |  category=essential_oils  base_price=
tea_leaves  |  Tea Leaves  |  category=crops  base_price=
tea_light  |  Tea Light  |  category=home_goods  base_price=
tea_seeds  |  Tea Seeds  |  category=seeds  base_price=
team_jersey  |  Team Jersey  |  category=industrial  base_price=
television  |  Television  |  category=industrial  base_price=
tequila  |  Tequila  |  category=alcohol  base_price=
textbook  |  Textbook  |  category=media  base_price=
theater_seat  |  Theater Seat  |  category=industrial  base_price=
thread  |  Thread  |  category=textiles  base_price=
threat_intelligence_report  |  Threat Intelligence Report  |  category=services  base_price=
tibetan_terrier  |  Tibetan Terrier  |  category=livestock  base_price=
tiger  |  Tiger  |  category=industrial  base_price=
tilapia  |  Tilapia  |  category=seafood  base_price=
tilefish  |  Tilefish  |  category=seafood  base_price=
timber  |  Timber  |  category=industrial  base_price=
tires  |  Rubber Tires  |  category=vehicle_parts  base_price=
tobacco_cured_fish  |  Tobacco-Cured Fish  |  category=seafood_product  base_price=
tobacco_essential_oil  |  Tobacco Essential Oil  |  category=essential_oils  base_price=
tobacco_rope  |  Tobacco Rope  |  category=tobacco  base_price=
tobacco_seeds  |  Tobacco Seeds  |  category=seeds  base_price=
toffee  |  English Toffee  |  category=confectionery  base_price=
tomato  |  Tomatoes  |  category=produce  base_price=
tomato_essential_oil  |  Tomato Essential Oil  |  category=essential_oils  base_price=
tomato_sauce  |  Tomato Sauce  |  category=condiments  base_price=
tomato_seeds  |  Tomato Seeds  |  category=seeds  base_price=
toothpaste  |  Toothpaste  |  category=personal_care  base_price=
tortoise  |  Tortoise  |  category=industrial  base_price=
towel  |  Towel  |  category=home_goods  base_price=
train_car_frame  |  Train Car Frame  |  category=vehicles  base_price=
tranquilizer  |  Tranquilizer  |  category=industrial  base_price=
transmission  |  Transmission  |  category=vehicle_parts  base_price=
trawler  |  Trawler  |  category=vehicle  base_price=
tropical_fish  |  Tropical Fish  |  category=industrial  base_price=
trousers  |  Trousers  |  category=apparel  base_price=
trout  |  Rainbow Trout  |  category=seafood  base_price=
truck  |  Pickup Truck  |  category=vehicle  base_price=
truffles  |  Chocolate Truffles  |  category=confectionery  base_price=
tugboat  |  Tugboat  |  category=vehicles  base_price=
tuna_steak  |  Tuna Steak  |  category=seafood_product  base_price=
turbot  |  Turbot  |  category=seafood  base_price=
turkish_cigarette  |  Turkish Cigarettes  |  category=tobacco  base_price=
unagi_kabayaki  |  Unagi Kabayaki  |  category=seafood_product  base_price=
urchin  |  Sea Urchin  |  category=shellfish  base_price=
vaccine  |  Vaccine  |  category=health  base_price=
vanilla_beans  |  Vanilla Beans  |  category=crops  base_price=
ventilator  |  Ventilator  |  category=industrial  base_price=
veterinary_supplies  |  Veterinary Supplies  |  category=industrial  base_price=
viewing_platform  |  Viewing Platform  |  category=vehicle_parts  base_price=
vinegar  |  Vinegar  |  category=condiments  base_price=
virginia_cigarette  |  Virginia Cigarettes  |  category=tobacco  base_price=
virginia_leaf  |  Virginia Tobacco Leaf  |  category=crops  base_price=
virginia_pipe_tobacco  |  Virginia Pipe Tobacco  |  category=tobacco  base_price=
vitamins  |  Vitamins  |  category=health  base_price=
vocational_kit  |  Vocational Kit  |  category=industrial  base_price=
vodka  |  Vodka  |  category=alcohol  base_price=
wallet  |  Wallet  |  category=accessories  base_price=
washer_dryer  |  Washer Dryer  |  category=industrial  base_price=
wastewater_service  |  Wastewater Service  |  category=services  base_price=
water  |  Water  |  category=liquids  base_price=
water_heater  |  Water Heater  |  category=industrial  base_price=
welsh_mountain_sheep  |  Welsh Mountain Sheep  |  category=livestock  base_price=
wheat  |  Wheat  |  category=crops  base_price=
wheat_essential_oil  |  Wheat Essential Oil  |  category=essential_oils  base_price=
wheat_seeds  |  Wheat Seeds  |  category=seeds  base_price=
wheelchair  |  Wheelchair  |  category=industrial  base_price=
whiskey  |  Whiskey  |  category=alcohol  base_price=
white_pearl  |  White Pearl  |  category=luxury  base_price=
white_swiss_shepherd  |  White Swiss Shepherd  |  category=livestock  base_price=
white_wine  |  White Wine  |  category=alcohol  base_price=
windshield  |  Windshield  |  category=vehicle_parts  base_price=
wine_barrel  |  Wine Barrel  |  category=industrial  base_price=
wool  |  Raw Wool  |  category=textiles  base_price=
worcestershire_sauce  |  Worcestershire Sauce  |  category=condiments  base_price=
yacht  |  Luxury Yacht  |  category=vehicle  base_price=
yarn  |  Yarn  |  category=textiles  base_price=
yeast  |  Baker's Yeast  |  category=ingredients  base_price=
yellowfin_tuna  |  Yellowfin Tuna  |  category=seafood  base_price=
yogurt  |  Yogurt  |  category=dairy  base_price=
zebra  |  Zebra  |  category=industrial  base_price=
zinc_ore  |  Zinc Ore  |  category=ore  base_price=
zippers  |  Zippers  |  category=textiles  base_price=
